Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_List,Skin_Sensitivity,Skin_Profile
19-24,Normal,Normal to Oily,No,Acne,Cyst,Salicylic Acid + Azelaic Acid + Zinc PCA,10% + 5% + 3%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Controls sebum production","['Salicylic Acid', 'Azelaic Acid', 'Zinc PCA']",Normal - Non-Sensitive,Cyst_Normal
19-24,Dry,Dry to Normal,Yes,Acne,Comedonal,Salicylic Acid + Zinc PCA + Green Tea Extract,8% + 0.5% + 1%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Zinc PCA', 'Green Tea Extract']",Dry - Sensitive,Comedonal_Dry
19-24,Dry,Dry to Normal,Yes,Acne,Inflammatory,Zinc PCA + Salicylic Acid + Azelaic Acid,5% + 10% + 0.5%,"Controls sebum production, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","['Zinc PCA', 'Salicylic Acid', 'Azelaic Acid']",Dry - Sensitive,Inflammatory_Dry
19-24,Dry,Dry to Normal,Yes,Acne,Cyst,Benzoyl Peroxide + Niacinamide + Zinc PCA,10% + 1% + 0.5%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production","['Benzoyl Peroxide', 'Niacinamide', 'Zinc PCA']",Dry - Sensitive,Cyst_Dry
19-24,Dry,Dry to Normal,No,Acne,Comedonal,Zinc PCA + Green Tea Extract + Niacinamide,0.5% + 2% + 5%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","['Zinc PCA', 'Green Tea Extract', 'Niacinamide']",Dry - Non-Sensitive,Comedonal_Dry
19-24,Dry,Dry to Normal,No,Acne,Inflammatory,Salicylic Acid + Zinc PCA + Green Tea Extract,2% + 3% + 8%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Zinc PCA', 'Green Tea Extract']",Dry - Non-Sensitive,Inflammatory_Dry
19-24,Dry,Dry to Normal,No,Acne,Cyst,Azelaic Acid + Green Tea Extract + Benzoyl Peroxide,2% + 10% + 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","['Azelaic Acid', 'Green Tea Extract', 'Benzoyl Peroxide']",Dry - Non-Sensitive,Cyst_Dry
19-24,Dry,Extreme Dry,Yes,Acne,Comedonal,Niacinamide + Salicylic Acid + Green Tea Extract,5% + 10% + 8%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Salicylic Acid', 'Green Tea Extract']",Dry - Sensitive,Comedonal_Dry
19-24,Dry,Extreme Dry,Yes,Acne,Inflammatory,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,0.5% + 1% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Benzoyl Peroxide', 'Green Tea Extract']",Dry - Sensitive,Inflammatory_Dry
19-24,Dry,Extreme Dry,Yes,Acne,Cyst,Benzoyl Peroxide + Zinc PCA + Green Tea Extract,1% + 3% + 10%,"Kills acne-causing bacteria, Controls sebum production, Provides antioxidant and anti-inflammatory benefits","['Benzoyl Peroxide', 'Zinc PCA', 'Green Tea Extract']",Dry - Sensitive,Cyst_Dry
19-24,Dry,Extreme Dry,No,Acne,Comedonal,Zinc PCA + Azelaic Acid + Benzoyl Peroxide,8% + 2% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria","['Zinc PCA', 'Azelaic Acid', 'Benzoyl Peroxide']",Dry - Non-Sensitive,Comedonal_Dry
19-24,Dry,Extreme Dry,No,Acne,Inflammatory,Niacinamide + Azelaic Acid + Salicylic Acid,10% + 8% + 0.5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil","['Niacinamide', 'Azelaic Acid', 'Salicylic Acid']",Dry - Non-Sensitive,Inflammatory_Dry
19-24,Dry,Extreme Dry,No,Acne,Cyst,Niacinamide + Azelaic Acid + Zinc PCA,0.5% + 8% + 5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Controls sebum production","['Niacinamide', 'Azelaic Acid', 'Zinc PCA']",Dry - Non-Sensitive,Cyst_Dry
19-24,Oily,Oily to Normal,Yes,Acne,Comedonal,Azelaic Acid + Niacinamide + Zinc PCA,2% + 5% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production","['Azelaic Acid', 'Niacinamide', 'Zinc PCA']",Oily - Sensitive,Comedonal_Oily
19-24,Oily,Oily to Normal,Yes,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Zinc PCA,5% + 0.5% + 8%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","['Azelaic Acid', 'Green Tea Extract', 'Zinc PCA']",Oily - Sensitive,Inflammatory_Oily
19-24,Oily,Oily to Normal,Yes,Acne,Cyst,Zinc PCA + Niacinamide + Salicylic Acid,3% + 5% + 8%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","['Zinc PCA', 'Niacinamide', 'Salicylic Acid']",Oily - Sensitive,Cyst_Oily
19-24,Oily,Oily to Normal,No,Acne,Comedonal,Azelaic Acid + Benzoyl Peroxide + Salicylic Acid,10% + 2% + 1%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil","['Azelaic Acid', 'Benzoyl Peroxide', 'Salicylic Acid']",Oily - Non-Sensitive,Comedonal_Oily
19-24,Oily,Oily to Normal,No,Acne,Inflammatory,Benzoyl Peroxide + Azelaic Acid + Green Tea Extract,3% + 2% + 5%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","['Benzoyl Peroxide', 'Azelaic Acid', 'Green Tea Extract']",Oily - Non-Sensitive,Inflammatory_Oily
19-24,Oily,Oily to Normal,No,Acne,Cyst,Azelaic Acid + Green Tea Extract + Niacinamide,0.5% + 1% + 8%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","['Azelaic Acid', 'Green Tea Extract', 'Niacinamide']",Oily - Non-Sensitive,Cyst_Oily
19-24,Oily,Extreme Oily,Yes,Acne,Comedonal,Salicylic Acid + Zinc PCA + Azelaic Acid,2% + 5% + 0.5%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture","['Salicylic Acid', 'Zinc PCA', 'Azelaic Acid']",Oily - Sensitive,Comedonal_Oily
19-24,Oily,Extreme Oily,Yes,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Green Tea Extract,0.5% + 2% + 5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Azelaic Acid', 'Benzoyl Peroxide', 'Green Tea Extract']",Oily - Sensitive,Inflammatory_Oily
19-24,Oily,Extreme Oily,Yes,Acne,Cyst,Zinc PCA + Azelaic Acid + Green Tea Extract,3% + 10% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","['Zinc PCA', 'Azelaic Acid', 'Green Tea Extract']",Oily - Sensitive,Cyst_Oily
19-24,Oily,Extreme Oily,No,Acne,Comedonal,Benzoyl Peroxide + Salicylic Acid + Niacinamide,10% + 1% + 0.5%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","['Benzoyl Peroxide', 'Salicylic Acid', 'Niacinamide']",Oily - Non-Sensitive,Comedonal_Oily
19-24,Oily,Extreme Oily,No,Acne,Inflammatory,Azelaic Acid + Salicylic Acid + Benzoyl Peroxide,2% + 1% + 0.5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Kills acne-causing bacteria","['Azelaic Acid', 'Salicylic Acid', 'Benzoyl Peroxide']",Oily - Non-Sensitive,Inflammatory_Oily
19-24,Oily,Extreme Oily,No,Acne,Cyst,Salicylic Acid + Niacinamide + Azelaic Acid,8% + 3% + 0.5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","['Salicylic Acid', 'Niacinamide', 'Azelaic Acid']",Oily - Non-Sensitive,Cyst_Oily
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Benzoyl Peroxide + Salicylic Acid + Zinc PCA,8% + 3% + 2%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Controls sebum production","['Benzoyl Peroxide', 'Salicylic Acid', 'Zinc PCA']",Combination - Sensitive,Comedonal_Combination
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Zinc PCA,1% + 2% + 0.5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production","['Azelaic Acid', 'Benzoyl Peroxide', 'Zinc PCA']",Combination - Sensitive,Inflammatory_Combination
19-24,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cyst,Salicylic Acid + Green Tea Extract + Zinc PCA,3% + 8% + 5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","['Salicylic Acid', 'Green Tea Extract', 'Zinc PCA']",Combination - Sensitive,Cyst_Combination
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,Benzoyl Peroxide + Zinc PCA + Salicylic Acid,2% + 10% + 0.5%,"Kills acne-causing bacteria, Controls sebum production, Unclogs pores and removes excess oil","['Benzoyl Peroxide', 'Zinc PCA', 'Salicylic Acid']",Combination - Non-Sensitive,Comedonal_Combination
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Zinc PCA,3% + 8% + 0.5%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production","['Azelaic Acid', 'Benzoyl Peroxide', 'Zinc PCA']",Combination - Non-Sensitive,Inflammatory_Combination
19-24,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cyst,Zinc PCA + Benzoyl Peroxide + Salicylic Acid,0.5% + 10% + 1%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil","['Zinc PCA', 'Benzoyl Peroxide', 'Salicylic Acid']",Combination - Non-Sensitive,Cyst_Combination
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,Salicylic Acid + Niacinamide + Benzoyl Peroxide,0.5% + 8% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","['Salicylic Acid', 'Niacinamide', 'Benzoyl Peroxide']",Combination - Sensitive,Comedonal_Combination
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,Benzoyl Peroxide + Niacinamide + Zinc PCA,0.5% + 5% + 3%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production","['Benzoyl Peroxide', 'Niacinamide', 'Zinc PCA']",Combination - Sensitive,Inflammatory_Combination
19-24,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cyst,Zinc PCA + Salicylic Acid + Green Tea Extract,5% + 8% + 2%,"Controls sebum production, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Zinc PCA', 'Salicylic Acid', 'Green Tea Extract']",Combination - Sensitive,Cyst_Combination
19-24,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,Salicylic Acid + Zinc PCA + Green Tea Extract,8% + 10% + 0.5%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Zinc PCA', 'Green Tea Extract']",Combination - Non-Sensitive,Comedonal_Combination
19-24,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,Salicylic Acid + Zinc PCA + Green Tea Extract,5% + 0.5% + 2%,"Unclogs pores and removes excess oil, Controls sebum production, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Zinc PCA', 'Green Tea Extract']",Combination - Non-Sensitive,Inflammatory_Combination
19-24,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cyst,Azelaic Acid + Niacinamide + Zinc PCA,2% + 1% + 3%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production","['Azelaic Acid', 'Niacinamide', 'Zinc PCA']",Combination - Non-Sensitive,Cyst_Combination
25-36,Normal,Normal to Dry,Yes,Acne,Comedonal,Salicylic Acid + Green Tea Extract + Niacinamide,3% + 10% + 5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","['Salicylic Acid', 'Green Tea Extract', 'Niacinamide']",Normal - Sensitive,Comedonal_Normal
25-36,Normal,Normal to Dry,Yes,Acne,Inflammatory,Azelaic Acid + Niacinamide + Benzoyl Peroxide,5% + 3% + 10%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","['Azelaic Acid', 'Niacinamide', 'Benzoyl Peroxide']",Normal - Sensitive,Inflammatory_Normal
25-36,Normal,Normal to Dry,Yes,Acne,Cyst,Niacinamide + Zinc PCA + Benzoyl Peroxide,3% + 10% + 0.5%,"Reduces inflammation and regulates sebum, Controls sebum production, Kills acne-causing bacteria","['Niacinamide', 'Zinc PCA', 'Benzoyl Peroxide']",Normal - Sensitive,Cyst_Normal
25-36,Normal,Normal to Dry,No,Acne,Comedonal,Salicylic Acid + Azelaic Acid + Green Tea Extract,3% + 10% + 2%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Azelaic Acid', 'Green Tea Extract']",Normal - Non-Sensitive,Comedonal_Normal
25-36,Normal,Normal to Dry,No,Acne,Inflammatory,Benzoyl Peroxide + Azelaic Acid + Salicylic Acid,10% + 1% + 3%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Unclogs pores and removes excess oil","['Benzoyl Peroxide', 'Azelaic Acid', 'Salicylic Acid']",Normal - Non-Sensitive,Inflammatory_Normal
25-36,Normal,Normal to Dry,No,Acne,Cyst,Niacinamide + Green Tea Extract + Salicylic Acid,3% + 8% + 1%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","['Niacinamide', 'Green Tea Extract', 'Salicylic Acid']",Normal - Non-Sensitive,Cyst_Normal
25-36,Normal,Normal to Oily,Yes,Acne,Comedonal,Benzoyl Peroxide + Green Tea Extract + Salicylic Acid,2% + 5% + 1%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","['Benzoyl Peroxide', 'Green Tea Extract', 'Salicylic Acid']",Normal - Sensitive,Comedonal_Normal
25-36,Normal,Normal to Oily,Yes,Acne,Inflammatory,Zinc PCA + Benzoyl Peroxide + Azelaic Acid,2% + 5% + 10%,"Controls sebum production, Kills acne-causing bacteria, Reduces acne and improves skin texture","['Zinc PCA', 'Benzoyl Peroxide', 'Azelaic Acid']",Normal - Sensitive,Inflammatory_Normal
25-36,Normal,Normal to Oily,Yes,Acne,Cyst,Benzoyl Peroxide + Salicylic Acid + Niacinamide,10% + 3% + 8%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","['Benzoyl Peroxide', 'Salicylic Acid', 'Niacinamide']",Normal - Sensitive,Cyst_Normal
25-36,Normal,Normal to Oily,No,Acne,Comedonal,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,5% + 0.5% + 2%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Benzoyl Peroxide', 'Green Tea Extract']",Normal - Non-Sensitive,Comedonal_Normal
25-36,Normal,Normal to Oily,No,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Benzoyl Peroxide,10% + 2% + 8%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","['Salicylic Acid', 'Green Tea Extract', 'Benzoyl Peroxide']",Normal - Non-Sensitive,Inflammatory_Normal
25-36,Normal,Normal to Oily,No,Acne,Cyst,Zinc PCA + Niacinamide + Benzoyl Peroxide,10% + 8% + 5%,"Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","['Zinc PCA', 'Niacinamide', 'Benzoyl Peroxide']",Normal - Non-Sensitive,Cyst_Normal
25-36,Dry,Dry to Normal,Yes,Acne,Comedonal,Salicylic Acid + Green Tea Extract + Benzoyl Peroxide,0.5% + 3% + 10%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","['Salicylic Acid', 'Green Tea Extract', 'Benzoyl Peroxide']",Dry - Sensitive,Comedonal_Dry
25-36,Dry,Dry to Normal,Yes,Acne,Inflammatory,Zinc PCA + Azelaic Acid + Niacinamide,5% + 2% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum","['Zinc PCA', 'Azelaic Acid', 'Niacinamide']",Dry - Sensitive,Inflammatory_Dry
25-36,Dry,Dry to Normal,Yes,Acne,Cyst,Niacinamide + Benzoyl Peroxide + Zinc PCA,5% + 10% + 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production","['Niacinamide', 'Benzoyl Peroxide', 'Zinc PCA']",Dry - Sensitive,Cyst_Dry
25-36,Dry,Dry to Normal,No,Acne,Comedonal,Zinc PCA + Azelaic Acid + Benzoyl Peroxide,5% + 10% + 0.5%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria","['Zinc PCA', 'Azelaic Acid', 'Benzoyl Peroxide']",Dry - Non-Sensitive,Comedonal_Dry
25-36,Dry,Dry to Normal,No,Acne,Inflammatory,Salicylic Acid + Benzoyl Peroxide + Azelaic Acid,2% + 3% + 5%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Reduces acne and improves skin texture","['Salicylic Acid', 'Benzoyl Peroxide', 'Azelaic Acid']",Dry - Non-Sensitive,Inflammatory_Dry
25-36,Dry,Dry to Normal,No,Acne,Cyst,Niacinamide + Salicylic Acid + Azelaic Acid,10% + 3% + 0.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","['Niacinamide', 'Salicylic Acid', 'Azelaic Acid']",Dry - Non-Sensitive,Cyst_Dry
25-36,Dry,Extreme Dry,Yes,Acne,Comedonal,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,10% + 5% + 1%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Benzoyl Peroxide', 'Green Tea Extract']",Dry - Sensitive,Comedonal_Dry
25-36,Dry,Extreme Dry,Yes,Acne,Inflammatory,Zinc PCA + Salicylic Acid + Green Tea Extract,3% + 2% + 5%,"Controls sebum production, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Zinc PCA', 'Salicylic Acid', 'Green Tea Extract']",Dry - Sensitive,Inflammatory_Dry
25-36,Dry,Extreme Dry,Yes,Acne,Cyst,Zinc PCA + Salicylic Acid + Niacinamide,5% + 2% + 1%,"Controls sebum production, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","['Zinc PCA', 'Salicylic Acid', 'Niacinamide']",Dry - Sensitive,Cyst_Dry
25-36,Dry,Extreme Dry,No,Acne,Comedonal,Salicylic Acid + Benzoyl Peroxide + Zinc PCA,8% + 5% + 1%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production","['Salicylic Acid', 'Benzoyl Peroxide', 'Zinc PCA']",Dry - Non-Sensitive,Comedonal_Dry
25-36,Dry,Extreme Dry,No,Acne,Inflammatory,Benzoyl Peroxide + Zinc PCA + Niacinamide,8% + 3% + 0.5%,"Kills acne-causing bacteria, Controls sebum production, Reduces inflammation and regulates sebum","['Benzoyl Peroxide', 'Zinc PCA', 'Niacinamide']",Dry - Non-Sensitive,Inflammatory_Dry
25-36,Dry,Extreme Dry,No,Acne,Cyst,Green Tea Extract + Salicylic Acid + Niacinamide,10% + 8% + 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","['Green Tea Extract', 'Salicylic Acid', 'Niacinamide']",Dry - Non-Sensitive,Cyst_Dry
