Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_List,Skin_Sensitivity,Skin_Profile
25-36,Oily,Oily to Normal,Yes,Acne,Comedonal,Green Tea Extract + Benzoyl Peroxide + Niacinamide,0.5% + 10% + 1%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces inflammation and regulates sebum","['Green Tea Extract', 'Benzoyl Peroxide', 'Niacinamide']",Oily - Sensitive,Comedonal_Oily
25-36,Oily,Oily to Normal,Yes,Acne,Inflammatory,Niacinamide + Azelaic Acid + Salicylic Acid,1% + 5% + 3%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Unclogs pores and removes excess oil","['Niacinamide', 'Azelaic Acid', 'Salicylic Acid']",Oily - Sensitive,Inflammatory_Oily
25-36,Oily,Oily to Normal,Yes,Acne,Cyst,Niacinamide + Benzoyl Peroxide + Salicylic Acid,8% + 1% + 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Unclogs pores and removes excess oil","['Niacinamide', 'Benzoyl Peroxide', 'Salicylic Acid']",Oily - Sensitive,Cyst_Oily
25-36,Oily,Oily to Normal,No,Acne,Comedonal,Green Tea Extract + Zinc PCA + Salicylic Acid,8% + 5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Controls sebum production, Unclogs pores and removes excess oil","['Green Tea Extract', 'Zinc PCA', 'Salicylic Acid']",Oily - Non-Sensitive,Comedonal_Oily
25-36,Oily,Oily to Normal,No,Acne,Inflammatory,Zinc PCA + Azelaic Acid + Salicylic Acid,0.5% + 3% + 2%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil","['Zinc PCA', 'Azelaic Acid', 'Salicylic Acid']",Oily - Non-Sensitive,Inflammatory_Oily
25-36,Oily,Oily to Normal,No,Acne,Cyst,Benzoyl Peroxide + Zinc PCA + Niacinamide,2% + 3% + 8%,"Kills acne-causing bacteria, Controls sebum production, Reduces inflammation and regulates sebum","['Benzoyl Peroxide', 'Zinc PCA', 'Niacinamide']",Oily - Non-Sensitive,Cyst_Oily
25-36,Oily,Extreme Oily,Yes,Acne,Comedonal,Zinc PCA + Niacinamide + Salicylic Acid,10% + 0.5% + 1%,"Controls sebum production, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","['Zinc PCA', 'Niacinamide', 'Salicylic Acid']",Oily - Sensitive,Comedonal_Oily
25-36,Oily,Extreme Oily,Yes,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Benzoyl Peroxide,10% + 2% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","['Salicylic Acid', 'Green Tea Extract', 'Benzoyl Peroxide']",Oily - Sensitive,Inflammatory_Oily
25-36,Oily,Extreme Oily,Yes,Acne,Cyst,Azelaic Acid + Green Tea Extract + Niacinamide,2% + 5% + 3%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","['Azelaic Acid', 'Green Tea Extract', 'Niacinamide']",Oily - Sensitive,Cyst_Oily
25-36,Oily,Extreme Oily,No,Acne,Comedonal,Azelaic Acid + Salicylic Acid + Green Tea Extract,8% + 3% + 2%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Azelaic Acid', 'Salicylic Acid', 'Green Tea Extract']",Oily - Non-Sensitive,Comedonal_Oily
25-36,Oily,Extreme Oily,No,Acne,Inflammatory,Salicylic Acid + Niacinamide + Zinc PCA,1% + 3% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production","['Salicylic Acid', 'Niacinamide', 'Zinc PCA']",Oily - Non-Sensitive,Inflammatory_Oily
25-36,Oily,Extreme Oily,No,Acne,Cyst,Green Tea Extract + Benzoyl Peroxide + Azelaic Acid,5% + 10% + 8%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Reduces acne and improves skin texture","['Green Tea Extract', 'Benzoyl Peroxide', 'Azelaic Acid']",Oily - Non-Sensitive,Cyst_Oily
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Azelaic Acid + Salicylic Acid + Niacinamide,0.5% + 10% + 5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","['Azelaic Acid', 'Salicylic Acid', 'Niacinamide']",Combination - Sensitive,Comedonal_Combination
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Zinc PCA + Green Tea Extract + Benzoyl Peroxide,2% + 5% + 10%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","['Zinc PCA', 'Green Tea Extract', 'Benzoyl Peroxide']",Combination - Sensitive,Inflammatory_Combination
25-36,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cyst,Niacinamide + Salicylic Acid + Azelaic Acid,3% + 1% + 5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","['Niacinamide', 'Salicylic Acid', 'Azelaic Acid']",Combination - Sensitive,Cyst_Combination
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,Azelaic Acid + Green Tea Extract + Salicylic Acid,2% + 1% + 3%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","['Azelaic Acid', 'Green Tea Extract', 'Salicylic Acid']",Combination - Non-Sensitive,Comedonal_Combination
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,Benzoyl Peroxide + Niacinamide + Azelaic Acid,5% + 3% + 0.5%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","['Benzoyl Peroxide', 'Niacinamide', 'Azelaic Acid']",Combination - Non-Sensitive,Inflammatory_Combination
25-36,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cyst,Azelaic Acid + Benzoyl Peroxide + Niacinamide,2% + 8% + 10%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Reduces inflammation and regulates sebum","['Azelaic Acid', 'Benzoyl Peroxide', 'Niacinamide']",Combination - Non-Sensitive,Cyst_Combination
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,Niacinamide + Salicylic Acid + Zinc PCA,5% + 1% + 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Controls sebum production","['Niacinamide', 'Salicylic Acid', 'Zinc PCA']",Combination - Sensitive,Comedonal_Combination
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,Benzoyl Peroxide + Niacinamide + Zinc PCA,5% + 8% + 3%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production","['Benzoyl Peroxide', 'Niacinamide', 'Zinc PCA']",Combination - Sensitive,Inflammatory_Combination
25-36,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cyst,Niacinamide + Salicylic Acid + Benzoyl Peroxide,3% + 0.5% + 10%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria","['Niacinamide', 'Salicylic Acid', 'Benzoyl Peroxide']",Combination - Sensitive,Cyst_Combination
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,Green Tea Extract + Salicylic Acid + Niacinamide,5% + 8% + 1%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","['Green Tea Extract', 'Salicylic Acid', 'Niacinamide']",Combination - Non-Sensitive,Comedonal_Combination
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,Zinc PCA + Benzoyl Peroxide + Azelaic Acid,10% + 0.5% + 8%,"Controls sebum production, Kills acne-causing bacteria, Reduces acne and improves skin texture","['Zinc PCA', 'Benzoyl Peroxide', 'Azelaic Acid']",Combination - Non-Sensitive,Inflammatory_Combination
25-36,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cyst,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,0.5% + 5% + 8%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Benzoyl Peroxide', 'Green Tea Extract']",Combination - Non-Sensitive,Cyst_Combination
37-45,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Green Tea Extract + Benzoyl Peroxide,5% + 8% + 2%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","['Zinc PCA', 'Green Tea Extract', 'Benzoyl Peroxide']",Normal - Sensitive,Comedonal_Normal
37-45,Normal,Normal to Dry,Yes,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Zinc PCA,3% + 10% + 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","['Azelaic Acid', 'Green Tea Extract', 'Zinc PCA']",Normal - Sensitive,Inflammatory_Normal
37-45,Normal,Normal to Dry,Yes,Acne,Cyst,Salicylic Acid + Niacinamide + Azelaic Acid,3% + 1% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","['Salicylic Acid', 'Niacinamide', 'Azelaic Acid']",Normal - Sensitive,Cyst_Normal
37-45,Normal,Normal to Dry,No,Acne,Comedonal,Zinc PCA + Azelaic Acid + Green Tea Extract,5% + 1% + 2%,"Controls sebum production, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","['Zinc PCA', 'Azelaic Acid', 'Green Tea Extract']",Normal - Non-Sensitive,Comedonal_Normal
37-45,Normal,Normal to Dry,No,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Azelaic Acid,1% + 10% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","['Salicylic Acid', 'Green Tea Extract', 'Azelaic Acid']",Normal - Non-Sensitive,Inflammatory_Normal
37-45,Normal,Normal to Dry,No,Acne,Cyst,Green Tea Extract + Salicylic Acid + Benzoyl Peroxide,10% + 0.5% + 1%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Kills acne-causing bacteria","['Green Tea Extract', 'Salicylic Acid', 'Benzoyl Peroxide']",Normal - Non-Sensitive,Cyst_Normal
37-45,Normal,Normal to Oily,Yes,Acne,Comedonal,Benzoyl Peroxide + Green Tea Extract + Azelaic Acid,5% + 8% + 1%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","['Benzoyl Peroxide', 'Green Tea Extract', 'Azelaic Acid']",Normal - Sensitive,Comedonal_Normal
37-45,Normal,Normal to Oily,Yes,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Azelaic Acid,2% + 8% + 10%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","['Salicylic Acid', 'Green Tea Extract', 'Azelaic Acid']",Normal - Sensitive,Inflammatory_Normal
37-45,Normal,Normal to Oily,Yes,Acne,Cyst,Benzoyl Peroxide + Niacinamide + Azelaic Acid,8% + 3% + 0.5%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","['Benzoyl Peroxide', 'Niacinamide', 'Azelaic Acid']",Normal - Sensitive,Cyst_Normal
37-45,Normal,Normal to Oily,No,Acne,Comedonal,Azelaic Acid + Niacinamide + Benzoyl Peroxide,10% + 0.5% + 2%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","['Azelaic Acid', 'Niacinamide', 'Benzoyl Peroxide']",Normal - Non-Sensitive,Comedonal_Normal
37-45,Normal,Normal to Oily,No,Acne,Inflammatory,Niacinamide + Green Tea Extract + Zinc PCA,8% + 5% + 10%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","['Niacinamide', 'Green Tea Extract', 'Zinc PCA']",Normal - Non-Sensitive,Inflammatory_Normal
37-45,Normal,Normal to Oily,No,Acne,Cyst,Azelaic Acid + Zinc PCA + Salicylic Acid,1% + 8% + 3%,"Reduces acne and improves skin texture, Controls sebum production, Unclogs pores and removes excess oil","['Azelaic Acid', 'Zinc PCA', 'Salicylic Acid']",Normal - Non-Sensitive,Cyst_Normal
37-45,Dry,Dry to Normal,Yes,Acne,Comedonal,Salicylic Acid + Niacinamide + Green Tea Extract,10% + 8% + 0.5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Niacinamide', 'Green Tea Extract']",Dry - Sensitive,Comedonal_Dry
37-45,Dry,Dry to Normal,Yes,Acne,Inflammatory,Niacinamide + Green Tea Extract + Zinc PCA,2% + 8% + 10%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","['Niacinamide', 'Green Tea Extract', 'Zinc PCA']",Dry - Sensitive,Inflammatory_Dry
37-45,Dry,Dry to Normal,Yes,Acne,Cyst,Benzoyl Peroxide + Niacinamide + Salicylic Acid,2% + 5% + 1%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","['Benzoyl Peroxide', 'Niacinamide', 'Salicylic Acid']",Dry - Sensitive,Cyst_Dry
37-45,Dry,Dry to Normal,No,Acne,Comedonal,Zinc PCA + Benzoyl Peroxide + Green Tea Extract,10% + 1% + 0.5%,"Controls sebum production, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Zinc PCA', 'Benzoyl Peroxide', 'Green Tea Extract']",Dry - Non-Sensitive,Comedonal_Dry
37-45,Dry,Dry to Normal,No,Acne,Inflammatory,Niacinamide + Benzoyl Peroxide + Zinc PCA,8% + 2% + 1%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production","['Niacinamide', 'Benzoyl Peroxide', 'Zinc PCA']",Dry - Non-Sensitive,Inflammatory_Dry
37-45,Dry,Dry to Normal,No,Acne,Cyst,Zinc PCA + Azelaic Acid + Benzoyl Peroxide,5% + 8% + 1%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria","['Zinc PCA', 'Azelaic Acid', 'Benzoyl Peroxide']",Dry - Non-Sensitive,Cyst_Dry
37-45,Dry,Extreme Dry,Yes,Acne,Comedonal,Azelaic Acid + Niacinamide + Green Tea Extract,8% + 10% + 2%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits","['Azelaic Acid', 'Niacinamide', 'Green Tea Extract']",Dry - Sensitive,Comedonal_Dry
37-45,Dry,Extreme Dry,Yes,Acne,Inflammatory,Benzoyl Peroxide + Niacinamide + Salicylic Acid,8% + 1% + 10%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","['Benzoyl Peroxide', 'Niacinamide', 'Salicylic Acid']",Dry - Sensitive,Inflammatory_Dry
37-45,Dry,Extreme Dry,Yes,Acne,Cyst,Azelaic Acid + Niacinamide + Zinc PCA,3% + 0.5% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Controls sebum production","['Azelaic Acid', 'Niacinamide', 'Zinc PCA']",Dry - Sensitive,Cyst_Dry
37-45,Dry,Extreme Dry,No,Acne,Comedonal,Benzoyl Peroxide + Green Tea Extract + Salicylic Acid,10% + 3% + 8%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","['Benzoyl Peroxide', 'Green Tea Extract', 'Salicylic Acid']",Dry - Non-Sensitive,Comedonal_Dry
37-45,Dry,Extreme Dry,No,Acne,Inflammatory,Azelaic Acid + Salicylic Acid + Benzoyl Peroxide,3% + 2% + 10%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Kills acne-causing bacteria","['Azelaic Acid', 'Salicylic Acid', 'Benzoyl Peroxide']",Dry - Non-Sensitive,Inflammatory_Dry
37-45,Dry,Extreme Dry,No,Acne,Cyst,Azelaic Acid + Benzoyl Peroxide + Green Tea Extract,8% + 0.5% + 10%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Azelaic Acid', 'Benzoyl Peroxide', 'Green Tea Extract']",Dry - Non-Sensitive,Cyst_Dry
37-45,Oily,Oily to Normal,Yes,Acne,Comedonal,Niacinamide + Zinc PCA + Azelaic Acid,8% + 0.5% + 5%,"Reduces inflammation and regulates sebum, Controls sebum production, Reduces acne and improves skin texture","['Niacinamide', 'Zinc PCA', 'Azelaic Acid']",Oily - Sensitive,Comedonal_Oily
37-45,Oily,Oily to Normal,Yes,Acne,Inflammatory,Green Tea Extract + Salicylic Acid + Zinc PCA,3% + 2% + 1%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Controls sebum production","['Green Tea Extract', 'Salicylic Acid', 'Zinc PCA']",Oily - Sensitive,Inflammatory_Oily
37-45,Oily,Oily to Normal,Yes,Acne,Cyst,Salicylic Acid + Zinc PCA + Azelaic Acid,0.5% + 5% + 2%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture","['Salicylic Acid', 'Zinc PCA', 'Azelaic Acid']",Oily - Sensitive,Cyst_Oily
37-45,Oily,Oily to Normal,No,Acne,Comedonal,Salicylic Acid + Zinc PCA + Niacinamide,8% + 5% + 3%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces inflammation and regulates sebum","['Salicylic Acid', 'Zinc PCA', 'Niacinamide']",Oily - Non-Sensitive,Comedonal_Oily
37-45,Oily,Oily to Normal,No,Acne,Inflammatory,Niacinamide + Salicylic Acid + Green Tea Extract,3% + 8% + 2%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Salicylic Acid', 'Green Tea Extract']",Oily - Non-Sensitive,Inflammatory_Oily
37-45,Oily,Oily to Normal,No,Acne,Cyst,Benzoyl Peroxide + Salicylic Acid + Green Tea Extract,0.5% + 10% + 3%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Benzoyl Peroxide', 'Salicylic Acid', 'Green Tea Extract']",Oily - Non-Sensitive,Cyst_Oily
37-45,Oily,Extreme Oily,Yes,Acne,Comedonal,Zinc PCA + Green Tea Extract + Azelaic Acid,2% + 8% + 10%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","['Zinc PCA', 'Green Tea Extract', 'Azelaic Acid']",Oily - Sensitive,Comedonal_Oily
37-45,Oily,Extreme Oily,Yes,Acne,Inflammatory,Green Tea Extract + Salicylic Acid + Zinc PCA,10% + 0.5% + 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Controls sebum production","['Green Tea Extract', 'Salicylic Acid', 'Zinc PCA']",Oily - Sensitive,Inflammatory_Oily
37-45,Oily,Extreme Oily,Yes,Acne,Cyst,Azelaic Acid + Zinc PCA + Salicylic Acid,8% + 10% + 3%,"Reduces acne and improves skin texture, Controls sebum production, Unclogs pores and removes excess oil","['Azelaic Acid', 'Zinc PCA', 'Salicylic Acid']",Oily - Sensitive,Cyst_Oily
37-45,Oily,Extreme Oily,No,Acne,Comedonal,Niacinamide + Salicylic Acid + Azelaic Acid,3% + 10% + 5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","['Niacinamide', 'Salicylic Acid', 'Azelaic Acid']",Oily - Non-Sensitive,Comedonal_Oily
37-45,Oily,Extreme Oily,No,Acne,Inflammatory,Benzoyl Peroxide + Green Tea Extract + Zinc PCA,8% + 3% + 5%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","['Benzoyl Peroxide', 'Green Tea Extract', 'Zinc PCA']",Oily - Non-Sensitive,Inflammatory_Oily
37-45,Oily,Extreme Oily,No,Acne,Cyst,Azelaic Acid + Salicylic Acid + Zinc PCA,5% + 0.5% + 2%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Controls sebum production","['Azelaic Acid', 'Salicylic Acid', 'Zinc PCA']",Oily - Non-Sensitive,Cyst_Oily
