Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_List,Skin_Sensitivity,Skin_Profile
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Benzoyl Peroxide + Green Tea Extract + Azelaic Acid,3% + 10% + 8%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","['Benzoyl Peroxide', 'Green Tea Extract', 'Azelaic Acid']",Combination - Sensitive,Comedonal_Combination
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Salicylic Acid + Green Tea Extract + Niacinamide,0.5% + 2% + 10%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","['Salicylic Acid', 'Green Tea Extract', 'Niacinamide']",Combination - Sensitive,Inflammatory_Combination
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cyst,Niacinamide + Zinc PCA + Green Tea Extract,3% + 0.5% + 5%,"Reduces inflammation and regulates sebum, Controls sebum production, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Zinc PCA', 'Green Tea Extract']",Combination - Sensitive,Cyst_Combination
37-45,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,Salicylic Acid + Niacinamide + Benzoyl Peroxide,5% + 10% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","['Salicylic Acid', 'Niacinamide', 'Benzoyl Peroxide']",Combination - Non-Sensitive,Comedonal_Combination
37-45,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,Benzoyl Peroxide + Green Tea Extract + Zinc PCA,0.5% + 2% + 8%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","['Benzoyl Peroxide', 'Green Tea Extract', 'Zinc PCA']",Combination - Non-Sensitive,Inflammatory_Combination
37-45,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cyst,Benzoyl Peroxide + Azelaic Acid + Zinc PCA,1% + 0.5% + 3%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Controls sebum production","['Benzoyl Peroxide', 'Azelaic Acid', 'Zinc PCA']",Combination - Non-Sensitive,Cyst_Combination
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,Niacinamide + Benzoyl Peroxide + Green Tea Extract,3% + 2% + 8%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Benzoyl Peroxide', 'Green Tea Extract']",Combination - Sensitive,Comedonal_Combination
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,Niacinamide + Azelaic Acid + Zinc PCA,8% + 3% + 5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Controls sebum production","['Niacinamide', 'Azelaic Acid', 'Zinc PCA']",Combination - Sensitive,Inflammatory_Combination
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cyst,Salicylic Acid + Azelaic Acid + Benzoyl Peroxide,1% + 8% + 10%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Kills acne-causing bacteria","['Salicylic Acid', 'Azelaic Acid', 'Benzoyl Peroxide']",Combination - Sensitive,Cyst_Combination
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,Salicylic Acid + Niacinamide + Zinc PCA,8% + 2% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production","['Salicylic Acid', 'Niacinamide', 'Zinc PCA']",Combination - Non-Sensitive,Comedonal_Combination
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,Salicylic Acid + Zinc PCA + Azelaic Acid,2% + 1% + 3%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture","['Salicylic Acid', 'Zinc PCA', 'Azelaic Acid']",Combination - Non-Sensitive,Inflammatory_Combination
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cyst,Azelaic Acid + Niacinamide + Benzoyl Peroxide,3% + 10% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","['Azelaic Acid', 'Niacinamide', 'Benzoyl Peroxide']",Combination - Non-Sensitive,Cyst_Combination
45+,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Azelaic Acid + Niacinamide,5% + 1% + 3%,"Controls sebum production, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum","['Zinc PCA', 'Azelaic Acid', 'Niacinamide']",Normal - Sensitive,Comedonal_Normal
45+,Normal,Normal to Dry,Yes,Acne,Inflammatory,Green Tea Extract + Benzoyl Peroxide + Salicylic Acid,0.5% + 10% + 3%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Unclogs pores and removes excess oil","['Green Tea Extract', 'Benzoyl Peroxide', 'Salicylic Acid']",Normal - Sensitive,Inflammatory_Normal
45+,Normal,Normal to Dry,Yes,Acne,Cyst,Zinc PCA + Azelaic Acid + Salicylic Acid,5% + 10% + 1%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil","['Zinc PCA', 'Azelaic Acid', 'Salicylic Acid']",Normal - Sensitive,Cyst_Normal
45+,Normal,Normal to Dry,No,Acne,Comedonal,Azelaic Acid + Benzoyl Peroxide + Green Tea Extract,10% + 2% + 1%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Azelaic Acid', 'Benzoyl Peroxide', 'Green Tea Extract']",Normal - Non-Sensitive,Comedonal_Normal
45+,Normal,Normal to Dry,No,Acne,Inflammatory,Niacinamide + Zinc PCA + Azelaic Acid,8% + 5% + 1%,"Reduces inflammation and regulates sebum, Controls sebum production, Reduces acne and improves skin texture","['Niacinamide', 'Zinc PCA', 'Azelaic Acid']",Normal - Non-Sensitive,Inflammatory_Normal
45+,Normal,Normal to Dry,No,Acne,Cyst,Zinc PCA + Azelaic Acid + Niacinamide,0.5% + 10% + 3%,"Controls sebum production, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum","['Zinc PCA', 'Azelaic Acid', 'Niacinamide']",Normal - Non-Sensitive,Cyst_Normal
45+,Normal,Normal to Oily,Yes,Acne,Comedonal,Zinc PCA + Benzoyl Peroxide + Salicylic Acid,3% + 1% + 8%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil","['Zinc PCA', 'Benzoyl Peroxide', 'Salicylic Acid']",Normal - Sensitive,Comedonal_Normal
45+,Normal,Normal to Oily,Yes,Acne,Inflammatory,Benzoyl Peroxide + Salicylic Acid + Azelaic Acid,10% + 0.5% + 8%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","['Benzoyl Peroxide', 'Salicylic Acid', 'Azelaic Acid']",Normal - Sensitive,Inflammatory_Normal
45+,Normal,Normal to Oily,Yes,Acne,Cyst,Salicylic Acid + Zinc PCA + Azelaic Acid,0.5% + 10% + 2%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture","['Salicylic Acid', 'Zinc PCA', 'Azelaic Acid']",Normal - Sensitive,Cyst_Normal
45+,Normal,Normal to Oily,No,Acne,Comedonal,Salicylic Acid + Benzoyl Peroxide + Zinc PCA,5% + 8% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Controls sebum production","['Salicylic Acid', 'Benzoyl Peroxide', 'Zinc PCA']",Normal - Non-Sensitive,Comedonal_Normal
45+,Normal,Normal to Oily,No,Acne,Inflammatory,Niacinamide + Azelaic Acid + Green Tea Extract,8% + 0.5% + 5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Azelaic Acid', 'Green Tea Extract']",Normal - Non-Sensitive,Inflammatory_Normal
45+,Normal,Normal to Oily,No,Acne,Cyst,Salicylic Acid + Benzoyl Peroxide + Green Tea Extract,8% + 0.5% + 3%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Benzoyl Peroxide', 'Green Tea Extract']",Normal - Non-Sensitive,Cyst_Normal
45+,Dry,Dry to Normal,Yes,Acne,Comedonal,Salicylic Acid + Niacinamide + Benzoyl Peroxide,3% + 8% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria","['Salicylic Acid', 'Niacinamide', 'Benzoyl Peroxide']",Dry - Sensitive,Comedonal_Dry
45+,Dry,Dry to Normal,Yes,Acne,Inflammatory,Benzoyl Peroxide + Niacinamide + Zinc PCA,8% + 0.5% + 2%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production","['Benzoyl Peroxide', 'Niacinamide', 'Zinc PCA']",Dry - Sensitive,Inflammatory_Dry
45+,Dry,Dry to Normal,Yes,Acne,Cyst,Benzoyl Peroxide + Salicylic Acid + Green Tea Extract,0.5% + 3% + 2%,"Kills acne-causing bacteria, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Benzoyl Peroxide', 'Salicylic Acid', 'Green Tea Extract']",Dry - Sensitive,Cyst_Dry
45+,Dry,Dry to Normal,No,Acne,Comedonal,Green Tea Extract + Salicylic Acid + Niacinamide,0.5% + 5% + 10%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum","['Green Tea Extract', 'Salicylic Acid', 'Niacinamide']",Dry - Non-Sensitive,Comedonal_Dry
45+,Dry,Dry to Normal,No,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Zinc PCA,0.5% + 2% + 10%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Controls sebum production","['Azelaic Acid', 'Green Tea Extract', 'Zinc PCA']",Dry - Non-Sensitive,Inflammatory_Dry
45+,Dry,Dry to Normal,No,Acne,Cyst,Green Tea Extract + Niacinamide + Salicylic Acid,10% + 8% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil","['Green Tea Extract', 'Niacinamide', 'Salicylic Acid']",Dry - Non-Sensitive,Cyst_Dry
45+,Dry,Extreme Dry,Yes,Acne,Comedonal,Salicylic Acid + Niacinamide + Green Tea Extract,2% + 1% + 10%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits","['Salicylic Acid', 'Niacinamide', 'Green Tea Extract']",Dry - Sensitive,Comedonal_Dry
45+,Dry,Extreme Dry,Yes,Acne,Inflammatory,Zinc PCA + Salicylic Acid + Azelaic Acid,2% + 3% + 5%,"Controls sebum production, Unclogs pores and removes excess oil, Reduces acne and improves skin texture","['Zinc PCA', 'Salicylic Acid', 'Azelaic Acid']",Dry - Sensitive,Inflammatory_Dry
45+,Dry,Extreme Dry,Yes,Acne,Cyst,Zinc PCA + Green Tea Extract + Azelaic Acid,1% + 2% + 8%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","['Zinc PCA', 'Green Tea Extract', 'Azelaic Acid']",Dry - Sensitive,Cyst_Dry
45+,Dry,Extreme Dry,No,Acne,Comedonal,Zinc PCA + Azelaic Acid + Benzoyl Peroxide,10% + 3% + 2%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria","['Zinc PCA', 'Azelaic Acid', 'Benzoyl Peroxide']",Dry - Non-Sensitive,Comedonal_Dry
45+,Dry,Extreme Dry,No,Acne,Inflammatory,Niacinamide + Benzoyl Peroxide + Zinc PCA,8% + 0.5% + 2%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production","['Niacinamide', 'Benzoyl Peroxide', 'Zinc PCA']",Dry - Non-Sensitive,Inflammatory_Dry
45+,Dry,Extreme Dry,No,Acne,Cyst,Niacinamide + Salicylic Acid + Green Tea Extract,3% + 5% + 8%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Salicylic Acid', 'Green Tea Extract']",Dry - Non-Sensitive,Cyst_Dry
45+,Oily,Oily to Normal,Yes,Acne,Comedonal,Azelaic Acid + Salicylic Acid + Green Tea Extract,2% + 5% + 10%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","['Azelaic Acid', 'Salicylic Acid', 'Green Tea Extract']",Oily - Sensitive,Comedonal_Oily
45+,Oily,Oily to Normal,Yes,Acne,Inflammatory,Zinc PCA + Salicylic Acid + Benzoyl Peroxide,1% + 5% + 2%,"Controls sebum production, Unclogs pores and removes excess oil, Kills acne-causing bacteria","['Zinc PCA', 'Salicylic Acid', 'Benzoyl Peroxide']",Oily - Sensitive,Inflammatory_Oily
45+,Oily,Oily to Normal,Yes,Acne,Cyst,Green Tea Extract + Niacinamide + Azelaic Acid,0.5% + 5% + 8%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","['Green Tea Extract', 'Niacinamide', 'Azelaic Acid']",Oily - Sensitive,Cyst_Oily
45+,Oily,Oily to Normal,No,Acne,Comedonal,Niacinamide + Green Tea Extract + Azelaic Acid,5% + 3% + 10%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture","['Niacinamide', 'Green Tea Extract', 'Azelaic Acid']",Oily - Non-Sensitive,Comedonal_Oily
45+,Oily,Oily to Normal,No,Acne,Inflammatory,Azelaic Acid + Benzoyl Peroxide + Salicylic Acid,3% + 10% + 2%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Unclogs pores and removes excess oil","['Azelaic Acid', 'Benzoyl Peroxide', 'Salicylic Acid']",Oily - Non-Sensitive,Inflammatory_Oily
45+,Oily,Oily to Normal,No,Acne,Cyst,Salicylic Acid + Benzoyl Peroxide + Azelaic Acid,3% + 10% + 2%,"Unclogs pores and removes excess oil, Kills acne-causing bacteria, Reduces acne and improves skin texture","['Salicylic Acid', 'Benzoyl Peroxide', 'Azelaic Acid']",Oily - Non-Sensitive,Cyst_Oily
45+,Oily,Extreme Oily,Yes,Acne,Comedonal,Salicylic Acid + Niacinamide + Zinc PCA,2% + 10% + 1%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production","['Salicylic Acid', 'Niacinamide', 'Zinc PCA']",Oily - Sensitive,Comedonal_Oily
45+,Oily,Extreme Oily,Yes,Acne,Inflammatory,Azelaic Acid + Green Tea Extract + Niacinamide,2% + 5% + 8%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum","['Azelaic Acid', 'Green Tea Extract', 'Niacinamide']",Oily - Sensitive,Inflammatory_Oily
45+,Oily,Extreme Oily,Yes,Acne,Cyst,Azelaic Acid + Benzoyl Peroxide + Zinc PCA,0.5% + 8% + 3%,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production","['Azelaic Acid', 'Benzoyl Peroxide', 'Zinc PCA']",Oily - Sensitive,Cyst_Oily
45+,Oily,Extreme Oily,No,Acne,Comedonal,Zinc PCA + Green Tea Extract + Salicylic Acid,0.5% + 2% + 8%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","['Zinc PCA', 'Green Tea Extract', 'Salicylic Acid']",Oily - Non-Sensitive,Comedonal_Oily
45+,Oily,Extreme Oily,No,Acne,Inflammatory,Zinc PCA + Niacinamide + Green Tea Extract,2% + 8% + 10%,"Controls sebum production, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits","['Zinc PCA', 'Niacinamide', 'Green Tea Extract']",Oily - Non-Sensitive,Inflammatory_Oily
45+,Oily,Extreme Oily,No,Acne,Cyst,Salicylic Acid + Green Tea Extract + Benzoyl Peroxide,1% + 5% + 3%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","['Salicylic Acid', 'Green Tea Extract', 'Benzoyl Peroxide']",Oily - Non-Sensitive,Cyst_Oily
45+,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,Niacinamide + Azelaic Acid + Green Tea Extract,10% + 0.5% + 2%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Azelaic Acid', 'Green Tea Extract']",Combination - Sensitive,Comedonal_Combination
45+,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,Niacinamide + Benzoyl Peroxide + Green Tea Extract,8% + 2% + 10%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Benzoyl Peroxide', 'Green Tea Extract']",Combination - Sensitive,Inflammatory_Combination
45+,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cyst,Niacinamide + Benzoyl Peroxide + Green Tea Extract,8% + 3% + 5%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits","['Niacinamide', 'Benzoyl Peroxide', 'Green Tea Extract']",Combination - Sensitive,Cyst_Combination
45+,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,Green Tea Extract + Benzoyl Peroxide + Zinc PCA,1% + 10% + 5%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Controls sebum production","['Green Tea Extract', 'Benzoyl Peroxide', 'Zinc PCA']",Combination - Non-Sensitive,Comedonal_Combination
45+,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,Niacinamide + Benzoyl Peroxide + Azelaic Acid,0.5% + 10% + 5%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Reduces acne and improves skin texture","['Niacinamide', 'Benzoyl Peroxide', 'Azelaic Acid']",Combination - Non-Sensitive,Inflammatory_Combination
45+,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cyst,Zinc PCA + Green Tea Extract + Salicylic Acid,10% + 2% + 1%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil","['Zinc PCA', 'Green Tea Extract', 'Salicylic Acid']",Combination - Non-Sensitive,Cyst_Combination
45+,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,Niacinamide + Azelaic Acid + Benzoyl Peroxide,10% + 0.5% + 8%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Kills acne-causing bacteria","['Niacinamide', 'Azelaic Acid', 'Benzoyl Peroxide']",Combination - Sensitive,Comedonal_Combination
45+,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,Green Tea Extract + Benzoyl Peroxide + Zinc PCA,10% + 1% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Controls sebum production","['Green Tea Extract', 'Benzoyl Peroxide', 'Zinc PCA']",Combination - Sensitive,Inflammatory_Combination
45+,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cyst,Salicylic Acid + Green Tea Extract + Benzoyl Peroxide,5% + 8% + 1%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria","['Salicylic Acid', 'Green Tea Extract', 'Benzoyl Peroxide']",Combination - Sensitive,Cyst_Combination
45+,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,Salicylic Acid + Niacinamide + Zinc PCA,8% + 10% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production","['Salicylic Acid', 'Niacinamide', 'Zinc PCA']",Combination - Non-Sensitive,Comedonal_Combination
45+,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,Niacinamide + Benzoyl Peroxide + Salicylic Acid,2% + 1% + 0.5%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Unclogs pores and removes excess oil","['Niacinamide', 'Benzoyl Peroxide', 'Salicylic Acid']",Combination - Non-Sensitive,Inflammatory_Combination
45+,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cyst,Salicylic Acid + Zinc PCA + Benzoyl Peroxide,1% + 2% + 3%,"Unclogs pores and removes excess oil, Controls sebum production, Kills acne-causing bacteria","['Salicylic Acid', 'Zinc PCA', 'Benzoyl Peroxide']",Combination - Non-Sensitive,Cyst_Combination
